station,lead_minutes,n_pair,n_unique_target,selected_targets,unavailable_targets,real_valid_pixels,real_cot_mae,real_cot_rmse,real_cot_bias,real_log1p_mae,real_log1p_rmse,forecast_valid_pixels,forecast_cot_mae,forecast_cot_rmse,forecast_cot_bias,forecast_log1p_mae,forecast_log1p_rmse
sili,15,24,24,32,8,6122,2.5934162407714663,4.8096720065863074,-0.6541954068532814,0.30452302584352964,0.48508426029775453,6122,5.744229218624869,9.927289955460383,1.9890308381279944,0.527283547247661,0.7447508529646127
sili,30,25,25,32,7,6378,2.5045267117412973,4.714252109267534,-0.6321403626529548,0.29966866371332723,0.4793418925334482,6378,5.812993811810219,10.83772608898346,0.593189031706733,0.5526129100273144,0.7995870463272969
sili,45,26,26,32,6,6634,2.550653189225902,4.709400846074656,-0.5466826623662172,0.2927221392457871,0.4709141641626175,6634,6.053518260523663,11.042843227370973,0.5687033604407942,0.5614292342576082,0.821124085301008
sili,60,26,26,32,6,6634,2.550653189225902,4.709400846074656,-0.5466826623662172,0.2927221392457871,0.4709141641626175,6634,6.457781855913622,11.558396438796192,0.4046599751947601,0.5919866152112818,0.8697050333803233
sili,75,26,26,32,6,6634,2.550653189225902,4.709400846074656,-0.5466826623662172,0.2927221392457871,0.4709141641626175,6634,6.73748386351797,12.044019714755864,0.1077472499555441,0.6453211533718987,0.9537560374240533
sili,90,26,26,32,6,6634,2.550653189225902,4.709400846074656,-0.5466826623662172,0.2927221392457871,0.4709141641626175,6634,6.836829639946985,12.265782371159364,-0.25701083137274644,0.670063807796081,0.9749847669572812
sili,105,27,27,32,5,6890,2.4865378347460942,4.626179237521041,-0.5038534365457467,0.29181990881482656,0.46749716791113477,6890,7.293135515462696,12.768476975445374,0.2519998460546484,0.7308902725396793,1.015043391547745
sili,120,28,28,32,4,7146,2.482232154893978,4.621485724412163,-0.5565203717883306,0.30335075486988194,0.49332774511037886,7146,8.175997786950822,13.45249139942495,2.0918949893353345,0.7641143559053057,1.0283230978177706
sili,135,28,28,32,4,7146,2.482232154893978,4.621485724412163,-0.5565203717883306,0.30335075486988194,0.49332774511037886,7146,8.329237771929398,13.646322137209944,1.3359304100259553,0.8395238260307608,1.124933953514434
sili,150,28,28,32,4,7146,2.482232154893978,4.621485724412163,-0.5565203717883306,0.30335075486988194,0.49332774511037886,7146,8.040592170747093,13.423197502985426,0.5958526960638729,0.8445993327668659,1.1316812504447753
sili,165,28,28,32,4,7146,2.482232154893978,4.621485724412163,-0.5565203717883306,0.30335075486988194,0.49332774511037886,7146,8.053962096479848,13.469464989083729,0.5515187458450422,0.8354770957941161,1.1258315514618857
sili,180,28,28,32,4,7146,2.482232154893978,4.621485724412163,-0.5565203717883306,0.30335075486988194,0.49332774511037886,7146,7.746985747481005,13.039024847174018,0.45187443336151173,0.8125574184570208,1.0996240190211566
sili,195,28,28,32,4,7146,2.482232154893978,4.621485724412163,-0.5565203717883306,0.30335075486988194,0.49332774511037886,7146,7.9837668249005285,13.27428663353361,0.48378108505959216,0.8447952968640249,1.1439793650387649
sili,210,28,28,32,4,7146,2.482232154893978,4.621485724412163,-0.5565203717883306,0.30335075486988194,0.49332774511037886,7146,7.592131245246602,12.686803764427085,0.4400984104719644,0.8179300944491699,1.0963846427034474
sili,225,28,28,32,4,7146,2.482232154893978,4.621485724412163,-0.5565203717883306,0.30335075486988194,0.49332774511037886,7146,7.554633831123135,12.948080630966015,0.372318880188622,0.8059303672513252,1.0906021207809566
sili,240,27,27,32,5,6890,2.4865378347460942,4.626179237521041,-0.5038534365457467,0.29181990881482656,0.46749716791113477,6890,8.523881226479169,13.85496717116472,1.8622126857257255,0.8169182440974444,1.11224267473334
zhujia,15,28,28,32,4,6913,1.657945419093291,3.8183525777804945,-0.12323301672652906,0.23060985813762863,0.4352319354191699,6913,1.8696732876453463,3.893498252612254,-0.14973557447752572,0.2872366773001784,0.5291013412988486
zhujia,30,27,27,32,5,6657,1.720646918851059,3.8910750096949354,-0.1290280889335909,0.23843660962032726,0.4434891336456755,6657,2.052611282105019,4.174724887496756,0.08556243090889579,0.3117174297489227,0.5527366489683962
zhujia,45,27,27,32,5,6657,1.720646918851059,3.8910750096949354,-0.1290280889335909,0.23843660962032726,0.4434891336456755,6657,2.2198956157409357,4.472252910283458,0.20497706419645056,0.3218457923412977,0.5810209473570086
zhujia,60,27,27,32,5,6657,1.720646918851059,3.8910750096949354,-0.1290280889335909,0.23843660962032726,0.4434891336456755,6657,2.4230222765902147,5.008707977472753,-0.11439475918717074,0.3423918081657393,0.6109034221479569
zhujia,75,27,27,32,5,6657,1.720646918851059,3.8910750096949354,-0.1290280889335909,0.23843660962032726,0.4434891336456755,6657,2.6248959122510107,5.373413907985324,-0.1424259408978609,0.3575669634094931,0.6343342981271641
zhujia,90,28,28,32,4,6913,1.6820304883030381,3.8231360487823096,-0.143167595891577,0.2388692125572516,0.44093807338660534,6913,2.8290699091407645,5.8614915349041565,-0.9082721470479812,0.4010379521518614,0.6778917216490099
zhujia,105,28,28,32,4,6913,1.6820304883030381,3.8231360487823096,-0.143167595891577,0.2388692125572516,0.44093807338660534,6913,3.1958025183351726,6.262577468037632,-0.271184632821058,0.4560196524369223,0.7406149757394513
zhujia,120,28,28,32,4,6913,1.6820304883030381,3.8231360487823096,-0.143167595891577,0.2388692125572516,0.44093807338660534,6913,3.3662602772109205,6.489765016708163,0.2001545640555393,0.48876630131773524,0.7821675998822865
zhujia,135,28,28,32,4,6913,1.6820304883030381,3.8231360487823096,-0.143167595891577,0.2388692125572516,0.44093807338660534,6913,3.480982165819685,6.705837133367306,0.057767872331924375,0.5065898605529733,0.8163758828617539
zhujia,150,28,28,32,4,6913,1.6820304883030381,3.8231360487823096,-0.143167595891577,0.2388692125572516,0.44093807338660534,6913,3.281555050698639,6.2981031806259375,-0.04861729036132416,0.47813357995407946,0.7951327092179977
zhujia,165,28,28,32,4,6913,1.6820304883030381,3.8231360487823096,-0.143167595891577,0.2388692125572516,0.44093807338660534,6913,3.564689455469772,6.91170351133584,0.4019636871104389,0.48255552673846547,0.783726775164766
zhujia,180,28,28,32,4,6913,1.6820304883030381,3.8231360487823096,-0.143167595891577,0.2388692125572516,0.44093807338660534,6913,4.049829650237596,7.720172912026296,0.6500570273562547,0.518531464556081,0.8382533979654698
zhujia,195,29,29,32,3,7169,1.8753927094996934,4.01005361592249,0.1153711784580733,0.24921248640659593,0.44475360617920046,7169,4.647201986280477,8.568693765266667,0.5184060644219974,0.5997991594148229,0.9628038279623987
zhujia,210,28,28,32,4,6913,1.9197396365624038,4.0791466855137495,0.13856120074258405,0.24917893228455437,0.44732939737580885,6913,4.8064887754508545,8.908959248612383,0.4629094487083195,0.6033987072858124,0.980272830424647
zhujia,225,27,27,32,5,6912,1.920012636879977,4.079441732971427,0.1385765074207158,0.24921031867147297,0.44736158706938073,6912,5.1634186294690565,9.319118846758995,1.1198552932956283,0.6021786355314431,0.9793473562050615
zhujia,240,25,25,32,7,6400,1.6867021332198242,3.9245671646921947,-0.03229687202064131,0.22754726481191823,0.43792164837479675,6400,4.637757443141063,8.936542677916558,1.1408541737682178,0.5514553675056549,0.9505837585085445
