pack_row,reason,sequence_id,split,station,latitude,longitude,init_time_bjt,init_time_utc,target_time_bjt,target_time_utc,lead_minutes,observed_ghi_15min_wm2,label_record_times_bjt,solar_cosine,day_mask_sza_lt_90,clear_sky_ghi_15min_wm2,kt,simvp_seq_id,cache_index,station_index,lead_index
129697,suspected_positive_flatline_ge60min,train_20240701T0300+0800,train,sili,25.9478611111,112.347916667,2024-07-01T03:00:00+08:00,2024-06-30T19:00:00+00:00,2024-07-01T06:30:00+08:00,2024-06-30T22:30:00+00:00,210,362.0,2024-07-01T06:20:00+08:00|2024-07-01T06:25:00+08:00|2024-07-01T06:30:00+08:00,0.1566188251765872,True,37.042773491835156,9.772486395485231,hunan_202406301715,5606,0,13
129698,suspected_positive_flatline_ge60min,train_20240701T0300+0800,train,sili,25.9478611111,112.347916667,2024-07-01T03:00:00+08:00,2024-06-30T19:00:00+00:00,2024-07-01T06:45:00+08:00,2024-06-30T22:45:00+00:00,225,362.0,2024-07-01T06:35:00+08:00|2024-07-01T06:40:00+08:00|2024-07-01T06:45:00+08:00,0.2107137117588196,True,76.00543133022377,4.762817520595396,hunan_202406301715,5606,0,14
129699,suspected_positive_flatline_ge60min,train_20240701T0300+0800,train,sili,25.9478611111,112.347916667,2024-07-01T03:00:00+08:00,2024-06-30T19:00:00+00:00,2024-07-01T07:00:00+08:00,2024-06-30T23:00:00+00:00,240,362.0,2024-07-01T06:50:00+08:00|2024-07-01T06:55:00+08:00|2024-07-01T07:00:00+08:00,0.2646428133064632,True,122.39708610567651,2.957586749144114,hunan_202406301715,5606,0,15
129706,suspected_positive_flatline_ge60min,train_20240701T0315+0800,train,sili,25.9478611111,112.347916667,2024-07-01T03:15:00+08:00,2024-06-30T19:15:00+00:00,2024-07-01T06:00:00+08:00,2024-06-30T22:00:00+00:00,165,362.0,2024-07-01T05:50:00+08:00|2024-07-01T05:55:00+08:00|2024-07-01T06:00:00+08:00,0.0488578102068212,True,0.75803980592284,477.5474812424924,hunan_202406301730,5607,0,10
129707,suspected_positive_flatline_ge60min,train_20240701T0315+0800,train,sili,25.9478611111,112.347916667,2024-07-01T03:15:00+08:00,2024-06-30T19:15:00+00:00,2024-07-01T06:15:00+08:00,2024-06-30T22:15:00+00:00,180,362.0,2024-07-01T06:05:00+08:00|2024-07-01T06:10:00+08:00|2024-07-01T06:15:00+08:00,0.1025897529366486,True,10.616362741927565,34.0983073770022,hunan_202406301730,5607,0,11
129708,suspected_positive_flatline_ge60min,train_20240701T0315+0800,train,sili,25.9478611111,112.347916667,2024-07-01T03:15:00+08:00,2024-06-30T19:15:00+00:00,2024-07-01T06:30:00+08:00,2024-06-30T22:30:00+00:00,195,362.0,2024-07-01T06:20:00+08:00|2024-07-01T06:25:00+08:00|2024-07-01T06:30:00+08:00,0.1566188251765872,True,37.042773491835156,9.772486395485231,hunan_202406301730,5607,0,12
129709,suspected_positive_flatline_ge60min,train_20240701T0315+0800,train,sili,25.9478611111,112.347916667,2024-07-01T03:15:00+08:00,2024-06-30T19:15:00+00:00,2024-07-01T06:45:00+08:00,2024-06-30T22:45:00+00:00,210,362.0,2024-07-01T06:35:00+08:00|2024-07-01T06:40:00+08:00|2024-07-01T06:45:00+08:00,0.2107137117588196,True,76.00543133022377,4.762817520595396,hunan_202406301730,5607,0,13
129710,suspected_positive_flatline_ge60min,train_20240701T0315+0800,train,sili,25.9478611111,112.347916667,2024-07-01T03:15:00+08:00,2024-06-30T19:15:00+00:00,2024-07-01T07:00:00+08:00,2024-06-30T23:00:00+00:00,225,362.0,2024-07-01T06:50:00+08:00|2024-07-01T06:55:00+08:00|2024-07-01T07:00:00+08:00,0.2646428133064632,True,122.39708610567651,2.957586749144114,hunan_202406301730,5607,0,14
129711,suspected_positive_flatline_ge60min,train_20240701T0315+0800,train,sili,25.9478611111,112.347916667,2024-07-01T03:15:00+08:00,2024-06-30T19:15:00+00:00,2024-07-01T07:15:00+08:00,2024-06-30T23:15:00+00:00,240,362.0,2024-07-01T07:05:00+08:00|2024-07-01T07:10:00+08:00|2024-07-01T07:15:00+08:00,0.3181752376977865,True,173.0127706539375,2.092331095743662,hunan_202406301730,5607,0,15
129719,suspected_positive_flatline_ge60min,train_20240701T0330+0800,train,sili,25.9478611111,112.347916667,2024-07-01T03:30:00+08:00,2024-06-30T19:30:00+00:00,2024-07-01T06:00:00+08:00,2024-06-30T22:00:00+00:00,150,362.0,2024-07-01T05:50:00+08:00|2024-07-01T05:55:00+08:00|2024-07-01T06:00:00+08:00,0.0488578102068212,True,0.75803980592284,477.5474812424924,hunan_202406301745,5608,0,9
129720,suspected_positive_flatline_ge60min,train_20240701T0330+0800,train,sili,25.9478611111,112.347916667,2024-07-01T03:30:00+08:00,2024-06-30T19:30:00+00:00,2024-07-01T06:15:00+08:00,2024-06-30T22:15:00+00:00,165,362.0,2024-07-01T06:05:00+08:00|2024-07-01T06:10:00+08:00|2024-07-01T06:15:00+08:00,0.1025897529366486,True,10.616362741927565,34.0983073770022,hunan_202406301745,5608,0,10
129721,suspected_positive_flatline_ge60min,train_20240701T0330+0800,train,sili,25.9478611111,112.347916667,2024-07-01T03:30:00+08:00,2024-06-30T19:30:00+00:00,2024-07-01T06:30:00+08:00,2024-06-30T22:30:00+00:00,180,362.0,2024-07-01T06:20:00+08:00|2024-07-01T06:25:00+08:00|2024-07-01T06:30:00+08:00,0.1566188251765872,True,37.042773491835156,9.772486395485231,hunan_202406301745,5608,0,11
129722,suspected_positive_flatline_ge60min,train_20240701T0330+0800,train,sili,25.9478611111,112.347916667,2024-07-01T03:30:00+08:00,2024-06-30T19:30:00+00:00,2024-07-01T06:45:00+08:00,2024-06-30T22:45:00+00:00,195,362.0,2024-07-01T06:35:00+08:00|2024-07-01T06:40:00+08:00|2024-07-01T06:45:00+08:00,0.2107137117588196,True,76.00543133022377,4.762817520595396,hunan_202406301745,5608,0,12
129723,suspected_positive_flatline_ge60min,train_20240701T0330+0800,train,sili,25.9478611111,112.347916667,2024-07-01T03:30:00+08:00,2024-06-30T19:30:00+00:00,2024-07-01T07:00:00+08:00,2024-06-30T23:00:00+00:00,210,362.0,2024-07-01T06:50:00+08:00|2024-07-01T06:55:00+08:00|2024-07-01T07:00:00+08:00,0.2646428133064632,True,122.39708610567651,2.957586749144114,hunan_202406301745,5608,0,13
129724,suspected_positive_flatline_ge60min,train_20240701T0330+0800,train,sili,25.9478611111,112.347916667,2024-07-01T03:30:00+08:00,2024-06-30T19:30:00+00:00,2024-07-01T07:15:00+08:00,2024-06-30T23:15:00+00:00,225,362.0,2024-07-01T07:05:00+08:00|2024-07-01T07:10:00+08:00|2024-07-01T07:15:00+08:00,0.3181752376977865,True,173.0127706539375,2.092331095743662,hunan_202406301745,5608,0,14
129725,suspected_positive_flatline_ge60min,train_20240701T0330+0800,train,sili,25.9478611111,112.347916667,2024-07-01T03:30:00+08:00,2024-06-30T19:30:00+00:00,2024-07-01T07:30:00+08:00,2024-06-30T23:30:00+00:00,240,362.0,2024-07-01T07:20:00+08:00|2024-07-01T07:25:00+08:00|2024-07-01T07:30:00+08:00,0.3710817885132746,True,225.93329466569048,1.6022428236424606,hunan_202406301745,5608,0,15
129734,suspected_positive_flatline_ge60min,train_20240701T0345+0800,train,sili,25.9478611111,112.347916667,2024-07-01T03:45:00+08:00,2024-06-30T19:45:00+00:00,2024-07-01T06:00:00+08:00,2024-06-30T22:00:00+00:00,135,362.0,2024-07-01T05:50:00+08:00|2024-07-01T05:55:00+08:00|2024-07-01T06:00:00+08:00,0.0488578102068212,True,0.75803980592284,477.5474812424924,hunan_202406301800,5609,0,8
129735,suspected_positive_flatline_ge60min,train_20240701T0345+0800,train,sili,25.9478611111,112.347916667,2024-07-01T03:45:00+08:00,2024-06-30T19:45:00+00:00,2024-07-01T06:15:00+08:00,2024-06-30T22:15:00+00:00,150,362.0,2024-07-01T06:05:00+08:00|2024-07-01T06:10:00+08:00|2024-07-01T06:15:00+08:00,0.1025897529366486,True,10.616362741927565,34.0983073770022,hunan_202406301800,5609,0,9
129736,suspected_positive_flatline_ge60min,train_20240701T0345+0800,train,sili,25.9478611111,112.347916667,2024-07-01T03:45:00+08:00,2024-06-30T19:45:00+00:00,2024-07-01T06:30:00+08:00,2024-06-30T22:30:00+00:00,165,362.0,2024-07-01T06:20:00+08:00|2024-07-01T06:25:00+08:00|2024-07-01T06:30:00+08:00,0.1566188251765872,True,37.042773491835156,9.772486395485231,hunan_202406301800,5609,0,10
129737,suspected_positive_flatline_ge60min,train_20240701T0345+0800,train,sili,25.9478611111,112.347916667,2024-07-01T03:45:00+08:00,2024-06-30T19:45:00+00:00,2024-07-01T06:45:00+08:00,2024-06-30T22:45:00+00:00,180,362.0,2024-07-01T06:35:00+08:00|2024-07-01T06:40:00+08:00|2024-07-01T06:45:00+08:00,0.2107137117588196,True,76.00543133022377,4.762817520595396,hunan_202406301800,5609,0,11
129738,suspected_positive_flatline_ge60min,train_20240701T0345+0800,train,sili,25.9478611111,112.347916667,2024-07-01T03:45:00+08:00,2024-06-30T19:45:00+00:00,2024-07-01T07:00:00+08:00,2024-06-30T23:00:00+00:00,195,362.0,2024-07-01T06:50:00+08:00|2024-07-01T06:55:00+08:00|2024-07-01T07:00:00+08:00,0.2646428133064632,True,122.39708610567651,2.957586749144114,hunan_202406301800,5609,0,12
129739,suspected_positive_flatline_ge60min,train_20240701T0345+0800,train,sili,25.9478611111,112.347916667,2024-07-01T03:45:00+08:00,2024-06-30T19:45:00+00:00,2024-07-01T07:15:00+08:00,2024-06-30T23:15:00+00:00,210,362.0,2024-07-01T07:05:00+08:00|2024-07-01T07:10:00+08:00|2024-07-01T07:15:00+08:00,0.3181752376977865,True,173.0127706539375,2.092331095743662,hunan_202406301800,5609,0,13
129740,suspected_positive_flatline_ge60min,train_20240701T0345+0800,train,sili,25.9478611111,112.347916667,2024-07-01T03:45:00+08:00,2024-06-30T19:45:00+00:00,2024-07-01T07:30:00+08:00,2024-06-30T23:30:00+00:00,225,362.0,2024-07-01T07:20:00+08:00|2024-07-01T07:25:00+08:00|2024-07-01T07:30:00+08:00,0.3710817885132746,True,225.93329466569048,1.6022428236424606,hunan_202406301800,5609,0,14
129741,suspected_positive_flatline_ge60min,train_20240701T0345+0800,train,sili,25.9478611111,112.347916667,2024-07-01T03:45:00+08:00,2024-06-30T19:45:00+00:00,2024-07-01T07:45:00+08:00,2024-06-30T23:45:00+00:00,240,362.0,2024-07-01T07:35:00+08:00|2024-07-01T07:40:00+08:00|2024-07-01T07:45:00+08:00,0.4231359462340348,True,279.936729871125,1.2931493490213113,hunan_202406301800,5609,0,15
129751,suspected_positive_flatline_ge60min,train_20240701T0400+0800,train,sili,25.9478611111,112.347916667,2024-07-01T04:00:00+08:00,2024-06-30T20:00:00+00:00,2024-07-01T06:00:00+08:00,2024-06-30T22:00:00+00:00,120,362.0,2024-07-01T05:50:00+08:00|2024-07-01T05:55:00+08:00|2024-07-01T06:00:00+08:00,0.0488578102068212,True,0.75803980592284,477.5474812424924,hunan_202406301815,5610,0,7
129752,suspected_positive_flatline_ge60min,train_20240701T0400+0800,train,sili,25.9478611111,112.347916667,2024-07-01T04:00:00+08:00,2024-06-30T20:00:00+00:00,2024-07-01T06:15:00+08:00,2024-06-30T22:15:00+00:00,135,362.0,2024-07-01T06:05:00+08:00|2024-07-01T06:10:00+08:00|2024-07-01T06:15:00+08:00,0.1025897529366486,True,10.616362741927565,34.0983073770022,hunan_202406301815,5610,0,8
129753,suspected_positive_flatline_ge60min,train_20240701T0400+0800,train,sili,25.9478611111,112.347916667,2024-07-01T04:00:00+08:00,2024-06-30T20:00:00+00:00,2024-07-01T06:30:00+08:00,2024-06-30T22:30:00+00:00,150,362.0,2024-07-01T06:20:00+08:00|2024-07-01T06:25:00+08:00|2024-07-01T06:30:00+08:00,0.1566188251765872,True,37.042773491835156,9.772486395485231,hunan_202406301815,5610,0,9
129754,suspected_positive_flatline_ge60min,train_20240701T0400+0800,train,sili,25.9478611111,112.347916667,2024-07-01T04:00:00+08:00,2024-06-30T20:00:00+00:00,2024-07-01T06:45:00+08:00,2024-06-30T22:45:00+00:00,165,362.0,2024-07-01T06:35:00+08:00|2024-07-01T06:40:00+08:00|2024-07-01T06:45:00+08:00,0.2107137117588196,True,76.00543133022377,4.762817520595396,hunan_202406301815,5610,0,10
129755,suspected_positive_flatline_ge60min,train_20240701T0400+0800,train,sili,25.9478611111,112.347916667,2024-07-01T04:00:00+08:00,2024-06-30T20:00:00+00:00,2024-07-01T07:00:00+08:00,2024-06-30T23:00:00+00:00,180,362.0,2024-07-01T06:50:00+08:00|2024-07-01T06:55:00+08:00|2024-07-01T07:00:00+08:00,0.2646428133064632,True,122.39708610567651,2.957586749144114,hunan_202406301815,5610,0,11
129756,suspected_positive_flatline_ge60min,train_20240701T0400+0800,train,sili,25.9478611111,112.347916667,2024-07-01T04:00:00+08:00,2024-06-30T20:00:00+00:00,2024-07-01T07:15:00+08:00,2024-06-30T23:15:00+00:00,195,362.0,2024-07-01T07:05:00+08:00|2024-07-01T07:10:00+08:00|2024-07-01T07:15:00+08:00,0.3181752376977865,True,173.0127706539375,2.092331095743662,hunan_202406301815,5610,0,12
129757,suspected_positive_flatline_ge60min,train_20240701T0400+0800,train,sili,25.9478611111,112.347916667,2024-07-01T04:00:00+08:00,2024-06-30T20:00:00+00:00,2024-07-01T07:30:00+08:00,2024-06-30T23:30:00+00:00,210,362.0,2024-07-01T07:20:00+08:00|2024-07-01T07:25:00+08:00|2024-07-01T07:30:00+08:00,0.3710817885132746,True,225.93329466569048,1.6022428236424606,hunan_202406301815,5610,0,13
129758,suspected_positive_flatline_ge60min,train_20240701T0400+0800,train,sili,25.9478611111,112.347916667,2024-07-01T04:00:00+08:00,2024-06-30T20:00:00+00:00,2024-07-01T07:45:00+08:00,2024-06-30T23:45:00+00:00,225,362.0,2024-07-01T07:35:00+08:00|2024-07-01T07:40:00+08:00|2024-07-01T07:45:00+08:00,0.4231359462340348,True,279.936729871125,1.2931493490213113,hunan_202406301815,5610,0,14
129759,suspected_positive_flatline_ge60min,train_20240701T0400+0800,train,sili,25.9478611111,112.347916667,2024-07-01T04:00:00+08:00,2024-06-30T20:00:00+00:00,2024-07-01T08:00:00+08:00,2024-07-01T00:00:00+00:00,240,362.0,2024-07-01T07:50:00+08:00|2024-07-01T07:55:00+08:00|2024-07-01T08:00:00+08:00,0.4741148379910074,True,334.1808325720944,1.083245849900455,hunan_202406301815,5610,0,15
129770,suspected_positive_flatline_ge60min,train_20240701T0415+0800,train,sili,25.9478611111,112.347916667,2024-07-01T04:15:00+08:00,2024-06-30T20:15:00+00:00,2024-07-01T06:00:00+08:00,2024-06-30T22:00:00+00:00,105,362.0,2024-07-01T05:50:00+08:00|2024-07-01T05:55:00+08:00|2024-07-01T06:00:00+08:00,0.0488578102068212,True,0.75803980592284,477.5474812424924,hunan_202406301830,5611,0,6
129771,suspected_positive_flatline_ge60min,train_20240701T0415+0800,train,sili,25.9478611111,112.347916667,2024-07-01T04:15:00+08:00,2024-06-30T20:15:00+00:00,2024-07-01T06:15:00+08:00,2024-06-30T22:15:00+00:00,120,362.0,2024-07-01T06:05:00+08:00|2024-07-01T06:10:00+08:00|2024-07-01T06:15:00+08:00,0.1025897529366486,True,10.616362741927565,34.0983073770022,hunan_202406301830,5611,0,7
129772,suspected_positive_flatline_ge60min,train_20240701T0415+0800,train,sili,25.9478611111,112.347916667,2024-07-01T04:15:00+08:00,2024-06-30T20:15:00+00:00,2024-07-01T06:30:00+08:00,2024-06-30T22:30:00+00:00,135,362.0,2024-07-01T06:20:00+08:00|2024-07-01T06:25:00+08:00|2024-07-01T06:30:00+08:00,0.1566188251765872,True,37.042773491835156,9.772486395485231,hunan_202406301830,5611,0,8
129773,suspected_positive_flatline_ge60min,train_20240701T0415+0800,train,sili,25.9478611111,112.347916667,2024-07-01T04:15:00+08:00,2024-06-30T20:15:00+00:00,2024-07-01T06:45:00+08:00,2024-06-30T22:45:00+00:00,150,362.0,2024-07-01T06:35:00+08:00|2024-07-01T06:40:00+08:00|2024-07-01T06:45:00+08:00,0.2107137117588196,True,76.00543133022377,4.762817520595396,hunan_202406301830,5611,0,9
129774,suspected_positive_flatline_ge60min,train_20240701T0415+0800,train,sili,25.9478611111,112.347916667,2024-07-01T04:15:00+08:00,2024-06-30T20:15:00+00:00,2024-07-01T07:00:00+08:00,2024-06-30T23:00:00+00:00,165,362.0,2024-07-01T06:50:00+08:00|2024-07-01T06:55:00+08:00|2024-07-01T07:00:00+08:00,0.2646428133064632,True,122.39708610567651,2.957586749144114,hunan_202406301830,5611,0,10
129775,suspected_positive_flatline_ge60min,train_20240701T0415+0800,train,sili,25.9478611111,112.347916667,2024-07-01T04:15:00+08:00,2024-06-30T20:15:00+00:00,2024-07-01T07:15:00+08:00,2024-06-30T23:15:00+00:00,180,362.0,2024-07-01T07:05:00+08:00|2024-07-01T07:10:00+08:00|2024-07-01T07:15:00+08:00,0.3181752376977865,True,173.0127706539375,2.092331095743662,hunan_202406301830,5611,0,11
129776,suspected_positive_flatline_ge60min,train_20240701T0415+0800,train,sili,25.9478611111,112.347916667,2024-07-01T04:15:00+08:00,2024-06-30T20:15:00+00:00,2024-07-01T07:30:00+08:00,2024-06-30T23:30:00+00:00,195,362.0,2024-07-01T07:20:00+08:00|2024-07-01T07:25:00+08:00|2024-07-01T07:30:00+08:00,0.3710817885132746,True,225.93329466569048,1.6022428236424606,hunan_202406301830,5611,0,12
129777,suspected_positive_flatline_ge60min,train_20240701T0415+0800,train,sili,25.9478611111,112.347916667,2024-07-01T04:15:00+08:00,2024-06-30T20:15:00+00:00,2024-07-01T07:45:00+08:00,2024-06-30T23:45:00+00:00,210,362.0,2024-07-01T07:35:00+08:00|2024-07-01T07:40:00+08:00|2024-07-01T07:45:00+08:00,0.4231359462340348,True,279.936729871125,1.2931493490213113,hunan_202406301830,5611,0,13
129778,suspected_positive_flatline_ge60min,train_20240701T0415+0800,train,sili,25.9478611111,112.347916667,2024-07-01T04:15:00+08:00,2024-06-30T20:15:00+00:00,2024-07-01T08:00:00+08:00,2024-07-01T00:00:00+00:00,225,362.0,2024-07-01T07:50:00+08:00|2024-07-01T07:55:00+08:00|2024-07-01T08:00:00+08:00,0.4741148379910074,True,334.1808325720944,1.083245849900455,hunan_202406301830,5611,0,14
129779,suspected_positive_flatline_ge60min,train_20240701T0415+0800,train,sili,25.9478611111,112.347916667,2024-07-01T04:15:00+08:00,2024-06-30T20:15:00+00:00,2024-07-01T08:15:00+08:00,2024-07-01T00:15:00+00:00,240,362.0,2024-07-01T08:05:00+08:00|2024-07-01T08:10:00+08:00|2024-07-01T08:15:00+08:00,0.5238001917134352,True,387.8317900175227,0.9333943459963517,hunan_202406301830,5611,0,15
129791,suspected_positive_flatline_ge60min,train_20240701T0430+0800,train,sili,25.9478611111,112.347916667,2024-07-01T04:30:00+08:00,2024-06-30T20:30:00+00:00,2024-07-01T06:00:00+08:00,2024-06-30T22:00:00+00:00,90,362.0,2024-07-01T05:50:00+08:00|2024-07-01T05:55:00+08:00|2024-07-01T06:00:00+08:00,0.0488578102068212,True,0.75803980592284,477.5474812424924,hunan_202406301845,5612,0,5
129792,suspected_positive_flatline_ge60min,train_20240701T0430+0800,train,sili,25.9478611111,112.347916667,2024-07-01T04:30:00+08:00,2024-06-30T20:30:00+00:00,2024-07-01T06:15:00+08:00,2024-06-30T22:15:00+00:00,105,362.0,2024-07-01T06:05:00+08:00|2024-07-01T06:10:00+08:00|2024-07-01T06:15:00+08:00,0.1025897529366486,True,10.616362741927565,34.0983073770022,hunan_202406301845,5612,0,6
129793,suspected_positive_flatline_ge60min,train_20240701T0430+0800,train,sili,25.9478611111,112.347916667,2024-07-01T04:30:00+08:00,2024-06-30T20:30:00+00:00,2024-07-01T06:30:00+08:00,2024-06-30T22:30:00+00:00,120,362.0,2024-07-01T06:20:00+08:00|2024-07-01T06:25:00+08:00|2024-07-01T06:30:00+08:00,0.1566188251765872,True,37.042773491835156,9.772486395485231,hunan_202406301845,5612,0,7
129794,suspected_positive_flatline_ge60min,train_20240701T0430+0800,train,sili,25.9478611111,112.347916667,2024-07-01T04:30:00+08:00,2024-06-30T20:30:00+00:00,2024-07-01T06:45:00+08:00,2024-06-30T22:45:00+00:00,135,362.0,2024-07-01T06:35:00+08:00|2024-07-01T06:40:00+08:00|2024-07-01T06:45:00+08:00,0.2107137117588196,True,76.00543133022377,4.762817520595396,hunan_202406301845,5612,0,8
129795,suspected_positive_flatline_ge60min,train_20240701T0430+0800,train,sili,25.9478611111,112.347916667,2024-07-01T04:30:00+08:00,2024-06-30T20:30:00+00:00,2024-07-01T07:00:00+08:00,2024-06-30T23:00:00+00:00,150,362.0,2024-07-01T06:50:00+08:00|2024-07-01T06:55:00+08:00|2024-07-01T07:00:00+08:00,0.2646428133064632,True,122.39708610567651,2.957586749144114,hunan_202406301845,5612,0,9
129796,suspected_positive_flatline_ge60min,train_20240701T0430+0800,train,sili,25.9478611111,112.347916667,2024-07-01T04:30:00+08:00,2024-06-30T20:30:00+00:00,2024-07-01T07:15:00+08:00,2024-06-30T23:15:00+00:00,165,362.0,2024-07-01T07:05:00+08:00|2024-07-01T07:10:00+08:00|2024-07-01T07:15:00+08:00,0.3181752376977865,True,173.0127706539375,2.092331095743662,hunan_202406301845,5612,0,10
129797,suspected_positive_flatline_ge60min,train_20240701T0430+0800,train,sili,25.9478611111,112.347916667,2024-07-01T04:30:00+08:00,2024-06-30T20:30:00+00:00,2024-07-01T07:30:00+08:00,2024-06-30T23:30:00+00:00,180,362.0,2024-07-01T07:20:00+08:00|2024-07-01T07:25:00+08:00|2024-07-01T07:30:00+08:00,0.3710817885132746,True,225.93329466569048,1.6022428236424606,hunan_202406301845,5612,0,11
129798,suspected_positive_flatline_ge60min,train_20240701T0430+0800,train,sili,25.9478611111,112.347916667,2024-07-01T04:30:00+08:00,2024-06-30T20:30:00+00:00,2024-07-01T07:45:00+08:00,2024-06-30T23:45:00+00:00,195,362.0,2024-07-01T07:35:00+08:00|2024-07-01T07:40:00+08:00|2024-07-01T07:45:00+08:00,0.4231359462340348,True,279.936729871125,1.2931493490213113,hunan_202406301845,5612,0,12
