seed,station,group,variant,n,rmse,mae,bias,mean_predicted_ghi,rmse_delta_vs_original,mae_delta_vs_original,mean_ghi_shift_vs_original,fraction_ghi_shift_positive
42,sili,all,original,49806,166.78110860189696,118.11266489227917,-32.239656139124314,405.9401213977187,0.0,0.0,0.0,0.0
42,sili,predicted_sunny,original,3046,76.47671963372845,56.84523319275825,-32.62129423224062,471.29860071194844,0.0,0.0,0.0,0.0
42,sili,predicted_partly_cloudy,original,24518,154.22061258406583,113.34592298107765,-33.128915843909745,486.39017217305735,0.0,0.0,0.0,0.0
42,sili,predicted_overcast,original,22242,187.79999108170958,131.7576417439822,-31.207134824783807,308.30698261069864,0.0,0.0,0.0,0.0
42,zhujia,all,original,50043,131.23190467771792,95.84852372422094,-22.520448082826853,364.3672356425027,0.0,0.0,0.0,0.0
42,zhujia,predicted_sunny,original,24375,126.44390594533816,91.22968327084271,-5.828176610886127,403.2638038335583,0.0,0.0,0.0,0.0
42,zhujia,predicted_partly_cloudy,original,13481,137.6550308348867,108.60189191248794,-45.608156921480365,415.6105689396081,0.0,0.0,0.0,0.0
42,zhujia,predicted_overcast,original,12187,133.3376973849518,90.9790791935789,-30.367228609180135,229.88662303601558,0.0,0.0,0.0,0.0
42,sili,all,zero_all,49806,164.03297623377276,113.67852613599922,-12.793343419451599,425.38643411739133,-2.748132368124203,-4.43413875627995,19.44631271967271,0.68704573746135
42,sili,predicted_sunny,zero_all,3046,71.75332100585459,48.784423548423355,-9.403617711533679,494.51627723265545,-4.723398627873863,-8.060809644334896,23.21767652070694,0.6474064346684176
42,sili,predicted_partly_cloudy,zero_all,24518,151.4233859818743,105.9550946136945,-14.095457477143455,505.42363053982365,-2.797226602191529,-7.3908283673831505,19.03345836676629,0.6169752834652092
42,sili,predicted_overcast,zero_all,22242,185.1253344945707,131.0794132210466,-11.82220197712758,327.6919154583548,-2.674656587138884,-0.6782285229355978,19.384932847656227,0.7697149536912148
42,zhujia,all,zero_all,50043,131.81204639397873,93.72195712508696,-12.697304807711134,374.1903789176184,0.5801417162608118,-2.12656659913398,9.823143275115727,0.534780089123354
42,zhujia,predicted_sunny,zero_all,24375,129.84572546934726,87.90831291124923,-0.6354493328149956,408.4565311116295,3.401819524009099,-3.3213703595934874,5.192727278071135,0.4153025641025641
42,zhujia,predicted_partly_cloudy,zero_all,13481,132.98540157219435,102.63820685549048,-37.07017169017561,424.14855417091286,-4.669629262692354,-5.963685056997463,8.537985231304749,0.5423929975521103
42,zhujia,predicted_overcast,zero_all,12187,134.38665394143516,95.48675691968154,-9.86125891931281,250.3925927258829,1.048956556483347,4.507677726102642,20.505969689867324,0.7653237055879215
42,sili,all,sunny_median,49806,169.1445547256446,121.1754264056596,-26.7364203672141,411.4433571696288,2.36344612374765,3.062761513380437,5.503235771910209,0.5807131670883026
42,sili,predicted_sunny,sunny_median,3046,76.12929943947407,56.3124444833221,-31.744813038093373,472.17508190609567,-0.34742019425438286,-0.5327887094361472,0.8764811941472549,0.5233092580433355
42,sili,predicted_partly_cloudy,sunny_median,24518,159.42459989497132,117.11983200823269,-42.726640223305225,476.7924477936619,5.2039873109054895,3.7739090271550424,-9.597724379395485,0.4394322538543111
42,sili,predicted_overcast,sunny_median,22242,187.7624201347734,134.52888861101673,-8.424048525332058,331.09006891015036,-0.03757094693617091,2.7712468670345345,22.78308629945175,0.7443125618199802
42,zhujia,all,sunny_median,50043,134.17186501523432,99.42037559756344,-12.65224123407574,374.2354424912539,2.9399603375163963,3.5718518733424958,9.868206848751115,0.6745598785044862
42,zhujia,predicted_sunny,sunny_median,24375,126.07067780317874,90.6507626231322,-4.550231905965442,404.541748538479,-0.37322814215941946,-0.5789206477105182,1.2779447049206867,0.6626461538461539
42,zhujia,predicted_partly_cloudy,sunny_median,13481,141.80057479508105,111.89945676039366,-47.823005112197,413.39572074889145,4.145543960194345,3.2975648479057185,-2.21484819071664,0.5163563533862473
42,zhujia,predicted_overcast,sunny_median,12187,141.03175644673547,103.1562271685528,10.048225695296876,270.3020773404926,7.694059061783662,12.177147974973906,40.41545430447701,0.8733896775252318
42,sili,all,drop_mean,49806,164.746919843796,112.23653508476534,-12.966206959673624,425.2135705771693,-2.034188758100953,-5.876129807513834,19.273449179450687,0.643677468578083
42,sili,predicted_sunny,drop_mean,3046,75.32223833179216,47.54715102369216,23.23679300458769,527.1566879487768,-1.1544813019362863,-9.298082169066092,55.85808723682831,1.0
42,sili,predicted_partly_cloudy,drop_mean,24518,149.28483535834283,102.56605119874006,0.3274755158227045,519.8465635327898,-4.935777225723001,-10.779871782337594,33.45639135973245,0.929888245370748
42,sili,predicted_overcast,drop_mean,22242,188.23925450472504,131.75567849667058,-32.57815034719988,306.93596708828255,0.4392634230154613,-0.0019632473116075744,-1.371015522416067,0.2793813505979678
42,zhujia,all,drop_mean,50043,134.50591305362093,92.01384373087481,4.437670032028841,391.32535375735847,3.2740083759030085,-3.8346799933461284,26.958118114855697,0.887676598125612
42,zhujia,predicted_sunny,drop_mean,24375,137.22494302113475,88.11511096503759,36.01401466281179,445.1059951072562,10.78103707579659,-3.114572305805126,41.842191273697914,0.9997948717948718
42,zhujia,predicted_partly_cloudy,drop_mean,13481,130.82116531974998,100.06660902929634,-22.982474241046194,438.23625162004225,-6.833865515136722,-8.535282883191599,22.62568268043417,0.9437727171574809
42,zhujia,predicted_overcast,drop_mean,12187,133.02466586436796,90.90383160149608,-28.386030257624864,231.86782138757084,-0.31303152058384853,-0.0752475920828175,1.9811983515552738,0.60137851809305
42,sili,all,drop_std,49806,166.4218279368485,117.62379129884603,-31.53732473020644,406.6424528066365,-0.359280665048459,-0.48887359343314074,0.7023314089178709,0.4751435570011645
42,sili,predicted_sunny,drop_std,3046,80.31257996828292,62.03790653938364,-39.69166189740422,464.2282330467849,3.835860334554468,5.192673346625391,-7.0703676651635945,0.056467498358502954
42,sili,predicted_partly_cloudy,drop_std,24518,153.5141172869858,112.26455725218614,-30.416610672987193,489.10247734397996,-0.7064952970800391,-1.0813657288915124,2.7123051709225487,0.5030589770780651
42,sili,predicted_overcast,drop_std,22242,187.50483312646318,131.1438122202258,-31.655999140943653,307.85811829453877,-0.29515795524639543,-0.6138295237563796,-0.44886431615984457,0.5017084794532866
42,zhujia,all,drop_std,50043,130.19916948172167,95.7565817102223,-24.032435245750882,362.8552484795787,-1.0327351959962527,-0.09194201399863289,-1.5119871629240205,0.34822053034390427
42,zhujia,predicted_sunny,drop_std,24375,125.28899411511013,92.05011495872311,-11.528468324612444,397.563512119832,-1.1549118302280306,0.8204316878804008,-5.700291713726308,0.1275897435897436
42,zhujia,predicted_partly_cloudy,drop_std,13481,135.0387462776255,106.17577662082297,-39.64754581361764,421.5711800474708,-2.6162845572611957,-2.4261152916649706,5.96061110786273,0.6237667828796083
42,zhujia,predicted_overcast,drop_std,12187,134.31669894455558,91.64432770825181,-31.76829215371328,228.4855594914824,0.9790015596037733,0.6652485146729106,-1.4010635445331445,0.4846968080741774
42,sili,all,drop_p90,49806,164.82069406207924,113.60950784419,-21.684411616213946,416.495365920629,-1.9604145398177195,-4.5031570480891645,10.555244522910368,0.6849777135284906
42,sili,predicted_sunny,drop_p90,3046,69.04549509782345,45.60008751028415,-7.065403373695044,496.8544915704941,-7.431224535905002,-11.245145682474103,25.555890858545578,0.9990151017728168
42,sili,predicted_partly_cloudy,drop_p90,24518,149.7339351752845,105.55684876115585,-13.376322882530046,506.1427651344371,-4.486677408781333,-7.789074219921801,19.752592961379698,0.8591239089648421
42,sili,predicted_overcast,drop_p90,22242,188.32027944260687,131.7999488897304,-32.84470379673613,306.6694136387463,0.5202883608972968,0.04230714574819672,-1.637568971952322,0.4500044959985613
42,zhujia,all,drop_p90,50043,130.47864911682854,90.79816479251014,-8.349252541109854,378.53843118421975,-0.7532555608893858,-5.050358931710804,14.17119554171701,0.7011969706052794
42,zhujia,predicted_sunny,drop_p90,24375,127.92830893051152,84.79237961174655,14.054262585877385,423.14624303032184,1.484402985173361,-6.437303659096159,19.882439196763517,0.747774358974359
42,zhujia,predicted_partly_cloudy,drop_p90,13481,132.11552562905356,101.5499253928442,-28.68173518013592,432.53699068095256,-5.539505205833137,-7.0519665196437415,16.92642174134445,0.7543950745493658
42,zhujia,predicted_overcast,drop_p90,12187,133.66865663535205,90.91685923150321,-30.666761588751065,229.58709005644462,0.330959250400241,-0.06221996207568736,-0.29953297957092845,0.5491917617133011
42,sili,all,drop_center,49806,172.6706461800048,127.55196394339455,-37.57873726832235,400.6010402685206,5.8895375781078485,9.439299051115384,-5.339081129198042,0.40613580693089185
42,sili,predicted_sunny,drop_center,3046,102.51833942698764,87.06808048694955,-71.69136653854643,432.22852840564263,26.041619793259187,30.222847294191304,-39.07007230630581,0.0
42,sili,predicted_partly_cloudy,drop_center,24518,167.8768678296782,128.6133784090847,-62.45710466031159,457.06198335665556,13.656255245612357,15.267455428007054,-29.32818881640184,0.08385675830002447
42,sili,predicted_overcast,drop_center,22242,185.09056465745573,131.92612764893087,-5.482932912873441,334.031184522609,-2.7094264242538486,0.16848590494868176,25.724201911910367,0.8170128585558852
42,zhujia,all,drop_center,50043,140.05387172243505,107.68889155010754,-45.40001266206727,341.48767106326227,8.821967044717127,11.840367825886602,-22.879564579240416,0.21833223427852047
42,zhujia,predicted_sunny,drop_center,24375,135.82520205820575,106.259165868945,-46.8546644532096,362.23731599123477,9.381296112867588,15.029482598102291,-41.02648784232348,0.0006564102564102564
42,zhujia,predicted_partly_cloudy,drop_center,13481,153.61231771450872,122.55481728972983,-76.0984660907534,385.120259770335,15.957286879622018,13.952925377241883,-30.490309169273033,0.07862918181143833
42,zhujia,predicted_overcast,drop_center,12187,132.45361919944762,94.10408959577005,-8.532613951866862,251.72123769332882,-0.8840781855041939,3.125010402191151,21.834614657313274,0.8082382866989415
43,sili,all,original,49806,165.25306797273186,117.1295969262414,-28.11573762990276,410.0640399069403,0.0,0.0,0.0,0.0
43,sili,predicted_sunny,original,3046,76.00338782364224,57.857039927756695,-35.62322949681407,468.296665447375,0.0,0.0,0.0,0.0
43,sili,predicted_partly_cloudy,original,24518,151.22016483793925,110.48201803093808,-31.325699495359505,488.19338852160763,0.0,0.0,0.0,0.0
43,sili,predicted_overcast,original,22242,187.49089746950796,132.57468046065517,-23.549166941840515,315.9649504936419,0.0,0.0,0.0,0.0
43,zhujia,all,original,50043,132.30510427671837,97.18250833879584,-30.806893895306573,356.080789830023,0.0,0.0,0.0,0.0
43,zhujia,predicted_sunny,original,24375,126.68589805079606,93.15978016459651,-14.076765437886202,395.01521500655826,0.0,0.0,0.0,0.0
43,zhujia,predicted_partly_cloudy,original,13481,139.46575376931736,109.73859045495045,-54.413136074961926,406.8055897861266,0.0,0.0,0.0,0.0
43,zhujia,predicted_overcast,original,12187,135.1396395297317,91.339023989754,-38.15580095411411,222.09805069108157,0.0,0.0,0.0,0.0
43,sili,all,zero_all,49806,168.0525885792455,123.67353001066822,-25.327762175686555,412.8520153611564,2.799520606513653,6.543933084426811,2.7879754542162005,0.4434204714291451
43,sili,predicted_sunny,zero_all,3046,109.42257669148307,95.56328394372727,-82.2693701195977,421.6505248245914,33.41918886784083,37.706244015970576,-46.646140622783626,0.019041365725541694
43,sili,predicted_partly_cloudy,zero_all,24518,157.1636087771841,118.37894533826397,-48.59066796501927,470.92842005194785,5.943443939244844,7.896927307325896,-17.264968469659767,0.1746471979769965
43,sili,predicted_overcast,zero_all,22242,185.40022300559693,133.35954909698734,8.113657747882042,347.62777518336446,-2.0906744639110286,0.7848686363321633,31.662824689722555,0.7978149446992177
43,zhujia,all,zero_all,50043,138.19625492987507,107.05158844981597,-46.19004489479549,340.6976388305341,5.8911506531567,9.869080111020125,-15.383150999488917,0.2807985132785804
43,zhujia,predicted_sunny,zero_all,24375,134.97169054312832,107.49368750928261,-49.1693276802098,359.9226527642346,8.285792492332263,14.333907344686097,-35.09256224232359,0.08188717948717948
43,zhujia,predicted_partly_cloudy,zero_all,13481,146.8618625550189,116.63995691948467,-70.3677426577978,390.85098320329064,7.396108785701529,6.90136646453422,-15.954606582835874,0.1939767079593502
43,zhujia,predicted_overcast,zero_all,12187,134.63835917874175,95.560904941643,-13.486380216243917,246.76747142895178,-0.5012803509899584,4.2218809518890055,24.669420737870194,0.7746779355050464
43,sili,all,sunny_median,49806,169.31944947721632,122.16981261282696,3.880906710432303,442.0606842472752,4.066381504484468,5.0402156865855545,31.996644340335063,0.7220214431996145
43,sili,predicted_sunny,sunny_median,3046,75.78775054159388,57.55498221381155,-35.10265122376588,468.8172437204232,-0.21563728204836252,-0.30205771394514613,0.5205782730481878,0.29875246224556795
43,sili,predicted_partly_cloudy,sunny_median,24518,151.52142293014444,109.68961025302893,-26.058029223472666,493.46105879349443,0.3012580922051882,-0.7924077779091476,5.2676702718868365,0.5837343992169018
43,sili,predicted_overcast,sunny_median,22242,195.2007130946435,144.77597999224108,42.22218666255216,381.73630409803457,7.709815625135548,12.201299531585903,65.77135360439269,0.9324251416239547
43,zhujia,all,sunny_median,50043,135.76853641997127,101.55272418361112,-18.34359340370015,368.54409032162937,3.463432143252902,4.370215844815277,12.463300491606423,0.5807005974861619
43,zhujia,predicted_sunny,sunny_median,24375,126.63811184413404,93.0176194782012,-13.743329707712743,395.34865073673177,-0.0477862066620105,-0.14216068639531443,0.33343573017345945,0.48020512820512823
43,zhujia,predicted_partly_cloudy,sunny_median,13481,145.39474578593834,114.0278309776809,-56.6763358477041,404.54239001338436,5.928992016620981,4.289240522730452,-2.2631997727421718,0.46383799421407906
43,zhujia,predicted_overcast,sunny_median,12187,142.23623692408881,104.8239363361927,14.858365511367086,275.1122171565628,7.096597394357104,13.484912346438705,53.014166465481196,0.9109707064905227
43,sili,all,drop_mean,49806,164.883601928477,118.19082165480376,-26.596854280163384,411.5829232566796,-0.36946604425486385,1.061224728562351,1.5188833497393672,0.437095932217002
43,sili,predicted_sunny,drop_mean,3046,85.07997738394086,69.22325833790372,-50.35262551605755,453.56726942813157,9.076589560298615,11.36621841014702,-14.729396019243486,0.02068286277084701
43,sili,predicted_partly_cloudy,drop_mean,24518,152.58328325531505,112.59951108418002,-36.2055930459359,483.3134949710313,1.3631184173758015,2.117493053241944,-4.879893550576396,0.1365935231258667
43,sili,predicted_overcast,drop_mean,22242,184.99452891336892,131.06030058807556,-12.751555465140278,326.7625619703421,-2.496368556139032,-1.5143798725796103,10.797611476700238,0.825375415879867
43,zhujia,all,drop_mean,50043,132.03477197443087,98.12152964381268,-33.62952651552839,353.2581572098012,-0.2703323022874997,0.939021305016837,-2.8226326202218224,0.36292788202146153
43,zhujia,predicted_sunny,drop_mean,24375,127.13904643298144,95.21202963321086,-22.706012740888102,386.3859677035564,0.45314838218538966,2.052249468614349,-8.629247303001899,0.15236923076923076
43,zhujia,predicted_partly_cloudy,drop_mean,13481,139.6762463307805,109.94041318721354,-55.92551190442698,405.2932139566615,0.210492561463127,0.20182273226308212,-1.5123758294650633,0.32779467398560935
43,zhujia,predicted_overcast,drop_mean,12187,132.94451525122076,90.86697099195679,-30.81410592220067,229.43974572299504,-2.1951242785109457,-0.47205299779720633,7.341695031913444,0.8229260687617953
43,sili,all,drop_std,49806,164.88572862917002,116.52948012165321,-28.33808715132125,409.8416903855217,-0.36733934356183795,-0.6001168045881968,-0.2223495214184924,0.45412199333413644
43,sili,predicted_sunny,drop_std,3046,77.02412637000945,59.49195781822369,-37.83875349691371,466.0811414472754,1.0207385463672125,1.634917890466994,-2.2155240000996494,0.13985554826001312
43,sili,predicted_partly_cloudy,drop_std,24518,150.86456880202823,109.84642518336163,-31.08199749537433,488.4370905215928,-0.3555960359110202,-0.6355928475764472,0.24370199998517492,0.45480871196671835
43,sili,predicted_overcast,drop_std,22242,187.02484790985895,131.70758613340033,-24.01229704682669,315.5018203886557,-0.46604955964900796,-0.867094327254847,-0.4631301049861713,0.49640320115097564
43,zhujia,all,drop_std,50043,132.87313691932883,97.20709997220104,-30.915637001430014,355.97204672389955,0.5680326426104614,0.024591633405194102,-0.10874310612344472,0.6161101452750635
43,zhujia,predicted_sunny,drop_std,24375,126.42689033704488,92.40772846958568,-12.088902189132337,397.0030782553121,-0.25900771375117415,-0.7520516950108345,1.9878632487538566,0.7665641025641026
43,zhujia,predicted_partly_cloudy,drop_std,13481,140.6908437304079,110.44861593080691,-56.20819476147194,405.0105310996165,1.2250899610905321,0.7100254758564546,-1.79505868651001,0.4758549069060159
43,zhujia,predicted_overcast,drop_std,12187,136.50168548119248,92.15875368010965,-40.59256240445213,219.66128924074354,1.3620459514607717,0.8197296903556577,-2.436761450338013,0.4703372446049069
43,sili,all,drop_p90,49806,163.78336414848962,115.68746454849966,-23.170545165783,415.0092323710599,-1.469703824242231,-1.4421323777417427,4.945192464119753,0.6517287073846525
43,sili,predicted_sunny,drop_p90,3046,78.62967041640884,61.365645191854675,-40.812343502803934,463.1075514413851,2.6262825927666,3.50860526409798,-5.189114005989868,0.17038739330269206
43,sili,predicted_partly_cloudy,drop_p90,24518,149.64158042081263,108.24198793659501,-26.48891087143619,493.03017714553096,-1.5785844171266206,-2.2400300943430693,4.836788623923312,0.5436006199526878
43,sili,predicted_overcast,drop_p90,22242,185.84367807675392,131.33409962317901,-17.096603609008856,322.41751382647357,-1.6472193927540388,-1.240580837476159,6.4525633328316605,0.8368402122111321
43,zhujia,all,drop_p90,50043,130.84217856645986,96.15596890727257,-29.945800535323645,356.9418831900059,-1.462925710258503,-1.0265394315232754,0.8610933599829218,0.5199728233719002
